app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img
2148320,Super Galaxy Ball,2022,2022-10-23,Very Positive,89,97,91.8,0,\N,https://store.steampowered.com/app/2148320/,https://cdn.akamai.steamstatic.com/steam/apps/2148320/header.jpg
1508490,Commie Killer 2069,2021,2021-02-06,Very Positive,83,96,86.5,0,\N,https://store.steampowered.com/app/1508490/,https://cdn.akamai.steamstatic.com/steam/apps/1508490/header.jpg
1916930,Astral Slider,2022,2022-03-10,Very Positive,90,96,93.8,0,\N,https://store.steampowered.com/app/1916930/,https://cdn.akamai.steamstatic.com/steam/apps/1916930/header.jpg
1612570,Death or Glory,2024,2024-09-24,Mostly Positive,69,96,71.9,0,\N,https://store.steampowered.com/app/1612570/,https://cdn.akamai.steamstatic.com/steam/apps/1612570/header.jpg
2460480,KILL CRAB,2023,2023-07-19,Very Positive,77,96,80.2,0,\N,https://store.steampowered.com/app/2460480/,https://cdn.akamai.steamstatic.com/steam/apps/2460480/header.jpg
2015040,Ignited Steel: Prologue,2022,2022-10-14,Very Positive,89,95,93.7,0,\N,https://store.steampowered.com/app/2015040/,https://cdn.akamai.steamstatic.com/steam/apps/2015040/header.jpg
786570,The Alpha Device,2018,2018-02-13,Mixed,62,95,65.3,0,\N,https://store.steampowered.com/app/786570/,https://cdn.akamai.steamstatic.com/steam/apps/786570/header.jpg
1836310,Apotheorasis • Lab of the Blind Gods | Prologue,2021,2021-12-22,Very Positive,91,95,95.8,0,\N,https://store.steampowered.com/app/1836310/,https://cdn.akamai.steamstatic.com/steam/apps/1836310/header.jpg
2425580,Ex Vitro,2024,2024-01-31,Very Positive,89,95,93.7,0,\N,https://store.steampowered.com/app/2425580/,https://cdn.akamai.steamstatic.com/steam/apps/2425580/header.jpg
660520,The IOTA Project,2017,2017-09-07,Mostly Positive,68,94,72.3,0,\N,https://store.steampowered.com/app/660520/,https://cdn.akamai.steamstatic.com/steam/apps/660520/header.jpg
