tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt1821681,Touch,2012,43,"Drama,Mystery,Sci-Fi",7.3,44026,https://www.imdb.com/title/tt1821681/
tt8778064,The Society,2019,58,"Drama,Mystery,Sci-Fi",7.1,43086,https://www.imdb.com/title/tt8778064/
tt4396630,The Gifted,2017,45,"Action,Fantasy,Sci-Fi",7.2,40994,https://www.imdb.com/title/tt4396630/
tt10919486,Into the Night,2020,35,"Drama,Sci-Fi,Thriller",7.0,39410,https://www.imdb.com/title/tt10919486/
tt2660734,The Tomorrow People,2013,43,"Action,Drama,Sci-Fi",7.1,38187,https://www.imdb.com/title/tt2660734/
tt8694364,Years and Years,2019,60,"Drama,Sci-Fi",8.2,37894,https://www.imdb.com/title/tt8694364/
tt8880894,Living with Yourself,2019,\N,"Comedy,Drama,Sci-Fi",7.1,37735,https://www.imdb.com/title/tt8880894/
tt4643084,Counterpart,2017,60,"Drama,Sci-Fi,Thriller",8.0,34923,https://www.imdb.com/title/tt4643084/
tt14379784,The Devil's Hour,2022,60,"Drama,Mystery,Sci-Fi",7.6,33897,https://www.imdb.com/title/tt14379784/
tt4154858,Inhumans,2017,45,"Action,Adventure,Sci-Fi",4.9,31392,https://www.imdb.com/title/tt4154858/
tt1236246,Runaways,2017,60,"Action,Drama,Sci-Fi",6.8,30551,https://www.imdb.com/title/tt1236246/
tt1183865,Alphas,2011,44,"Action,Drama,Sci-Fi",7.2,30419,https://www.imdb.com/title/tt1183865/
tt4922804,3%,2016,49,"Action,Drama,Sci-Fi",7.2,30387,https://www.imdb.com/title/tt4922804/
tt3556944,Heroes Reborn,2015,46,"Drama,Fantasy,Sci-Fi",6.6,29811,https://www.imdb.com/title/tt3556944/
tt6045840,Black Lightning,2018,43,"Action,Drama,Sci-Fi",6.1,29247,https://www.imdb.com/title/tt6045840/
tt36988358,Takopi's Original Sin,2025,30,"Animation,Drama,Sci-Fi",8.7,28635,https://www.imdb.com/title/tt36988358/
tt1235547,Better Off Ted,2009,30,"Comedy,Sci-Fi",8.2,28530,https://www.imdb.com/title/tt1235547/
tt0799862,Caprica,2009,60,"Action,Drama,Sci-Fi",7.1,27573,https://www.imdb.com/title/tt0799862/
tt8787802,Away,2020,50,"Drama,Romance,Sci-Fi",6.6,27205,https://www.imdb.com/title/tt8787802/
