tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt6723592,Tenet,2020,150,"Action,Sci-Fi,Thriller",7.3,703043,https://www.imdb.com/title/tt6723592/
tt0120903,X-Men,2000,104,"Action,Adventure,Sci-Fi",7.3,697332,https://www.imdb.com/title/tt0120903/
tt0114746,12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",8.0,682485,https://www.imdb.com/title/tt0114746/
tt11286314,Don't Look Up,2021,138,"Comedy,Drama,Sci-Fi",7.1,677412,https://www.imdb.com/title/tt11286314/
tt0234215,The Matrix Reloaded,2003,138,"Action,Sci-Fi",7.2,674457,https://www.imdb.com/title/tt0234215/
tt4154664,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",6.7,667061,https://www.imdb.com/title/tt4154664/
tt6644200,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",7.5,665658,https://www.imdb.com/title/tt6644200/
tt0116629,Independence Day,1996,145,"Action,Adventure,Sci-Fi",7.0,652898,https://www.imdb.com/title/tt0116629/
tt1219289,Limitless,2011,105,"Sci-Fi,Thriller",7.4,652335,https://www.imdb.com/title/tt1219289/
tt0470752,Ex Machina,2014,108,"Drama,Sci-Fi,Thriller",7.7,643571,https://www.imdb.com/title/tt0470752/
tt0796366,Star Trek,2009,127,"Action,Adventure,Sci-Fi",7.9,640143,https://www.imdb.com/title/tt0796366/
tt1276104,Looper,2012,119,"Action,Drama,Sci-Fi",7.4,631010,https://www.imdb.com/title/tt1276104/
tt0096874,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",7.8,626645,https://www.imdb.com/title/tt0096874/
tt0343818,"I, Robot",2004,115,"Action,Mystery,Sci-Fi",7.1,618761,https://www.imdb.com/title/tt0343818/
tt0290334,X2: X-Men United,2003,134,"Action,Sci-Fi,Thriller",7.4,614751,https://www.imdb.com/title/tt0290334/
tt1270797,Venom,2018,112,"Action,Adventure,Sci-Fi",6.6,613207,https://www.imdb.com/title/tt1270797/
